OrderID,CurrentClinicName1,CurrentClinicName2,CurrentClinicCity,CurrentClinicState,MedicalDirector,ND_NumIntentRet1,ND_NumIntentRet2,ND_NumIntentRet3,ND_NumIntentRet4,ND_IntentRetLB1,ND_IntentRetLB2,ND_IntentRetLB3,ND_IntentRetLB4,ND_IntentRetSingleLB1,ND_IntentRetSingleLB2,ND_IntentRetSingleLB3,ND_IntentRetSingleLB4,ND_NumRetrieve1,ND_NumRetrieve2,ND_NumRetrieve3,ND_NumRetrieve4,ND_RetrieveLB1,ND_RetrieveLB2,ND_RetrieveLB3,ND_RetrieveLB4,ND_RetrieveSingleLB1,ND_RetrieveSingleLB2,ND_RetrieveSingleLB3,ND_RetrieveSingleLB4,ND_NumTrans1,ND_NumTrans2,ND_NumTrans3,ND_NumTrans4,ND_TransLB1,ND_TransLB2,ND_TransLB3,ND_TransLB4,ND_TransSingleLB1,ND_TransSingleLB2,ND_TransSingleLB3,ND_TransSingleLB4,ND_IntentRetPerLB1,ND_IntentRetPerLB2,ND_IntentRetPerLB3,ND_IntentRetPerLB4,NewND_1IntentRetLB1,NewND_1IntentRetLB2,NewND_1IntentRetLB3,NewND_1IntentRetLB4,NewND_2IntentRetLB1,NewND_2IntentRetLB2,NewND_2IntentRetLB3,NewND_2IntentRetLB4,NewND_AllIntentRetLB1,NewND_AllIntentRetLB2,NewND_AllIntentRetLB3,NewND_AllIntentRetLB4,NewND_IntentRetPerNew1,NewND_IntentRetPerNew2,NewND_IntentRetPerNew3,NewND_IntentRetPerNew4,NewND_TransPerIntentRet1,NewND_TransPerIntentRet2,NewND_TransPerIntentRet3,NewND_TransPerIntentRet4,Donor_NumTrans1,Donor_NumTrans2,Donor_NumTrans3,Donor_NumTrans4,Donor_TransLB1,Donor_TransLB2,Donor_TransLB3,Donor_TransLB4,Donor_TranSingleLB1,Donor_TranSingleLB2,Donor_TranSingleLB3,Donor_TranSingleLB4,TotNumCycles1,TotNumCycles2,TotNumCycles3,TotNumCycles4,TotNumCyclesAll,CycleCancel1,CycleCancel2,CycleCancel3,CycleCancel4,CycleCancelAll,CycleStop1,CycleStop2,CycleStop3,CycleStop4,CycleStopAll,CycleFertPres1,CycleFertPres2,CycleFertPres3,CycleFertPres4,CycleFertPresAll,TransCarrier1,TransCarrier2,TransCarrier3,TransCarrier4,TransCarrierAll,TransFrozEmb1,TransFrozEmb2,TransFrozEmb3,TransFrozEmb4,TransFrozEmbAll,TransICSI1,TransICSI2,TransICSI3,TransICSI4,TransICSIAll,TransPGT1,TransPGT2,TransPGT3,TransPGT4,TransPGTAll,ReasonMale,ReasonEndo,ReasonTubal,ReasonOvul,ReasonUterine,ReasonPGT,ReasonCarrier,ReasonDOR,ReasonBank,ReasonPregLoss,ReasonOtherInfert,ReasonNonInfert,ReasonUnexplained,DonorEggService,DonatedEmbryoService,EmbryoCryoService,EggCryoService,GestCarrierService,SARTmember,LabAccred,NumResearch,CurrentStateAbbrev,gcode,point,lat,lon
390,"FERTILITY SPECIALISTS OF TEXAS, PLLC",,FRISCO,TEXAS,"Jerald S. Goldstein, MD",200,96,72,74,0.635,53.10%,30.60%,12.20%,0.595,50.00%,29.20%,10.80%,189,84,65,60,67.20%,60.70%,33.80%,15.00%,63.00%,57.10%,32.30%,13.30%,202,91,48,20,62.90%,56.00%,45.80%,45.00%,58.90%,52.70%,43.80%,40.00%,1.6,1.9,3.3,8.2,68.60%,59.40%,34.20%,14.70%,71.10%,64.10%,44.70%,14.70%,71.70%,64.10%,44.70%,14.70%,1.1,1.1,1.2,1.3,1,1,0.7,0.3,0,0,97,*,,,63.90%,0 / *,,,57.70%,0 / *,579,311,192,231,1313,3.50%,5.00%,13.00%,14.10%,7.40%,5.10%,6.60%,10.70%,9.40%,7.00%,4.80%,6.80%,5.70%,0.40%,4.60%,6.40%,7.50%,15.70%,28.40%,11.50%,98.90%,96.30%,94.00%,95.10%,97.00%,0.649,65.00%,59.00%,61.80%,63.60%,0.67,73.10%,78.30%,73.50%,71.10%,40%,5%,13%,0.19,7%,3%,4%,0.2,47%,5%,7%,2%,6%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,TX,"Frisco, Collin County, Texas, United States","(33.1506744, -96.8236116, 0.0)",33.1506744,-96.8236116
391,ADVANCED FERTILITY CENTER OF TEXAS,,HOUSTON,TEXAS,"Michael A. Allon, MD",72,41,50,38,0.5,34.10%,22.00%,5.30%,0.333,24.40%,20.00%,5.30%,70,41,46,35,51.40%,34.10%,23.90%,5.70%,34.30%,24.40%,21.70%,5.70%,64,30,27,10,56.30%,46.70%,40.70%,* / 10,37.50%,33.30%,37.00%,* / 10,2,2.9,4.5,19,58.10%,27.30%,* / 18,0 / 14,65.10%,40.90%,18-Jun,* / 14,65.10%,40.90%,18-Jul,* / 14,1.1,1.4,1.6,1.6,1,0.7,0.5,0.2,7,0,21,0,* / 7,,52.40%,,* / 7,,47.60%,,161,69,101,86,417,2.60%,0.00%,6.80%,7.40%,4.40%,6.90%,2.90%,13.40%,13.40%,9.10%,2.50%,2.90%,1.00%,0.00%,1.70%,1.20%,11.40%,4.70%,2.80%,4.10%,97.60%,97.10%,95.30%,86.10%,94.90%,0.988,100.00%,100.00%,94.40%,98.50%,0.301,51.40%,34.90%,27.80%,34.50%,39%,11%,24%,0.31,2%,37%,1%,0.36,49%,7%,43%,2%,0%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,TX,"Houston, Harris County, Texas, United States","(29.7589382, -95.3676974, 0.0)",29.7589382,-95.3676974
392,ASPIRE FERTILITY-HOUSTON,,HOUSTON,TEXAS,"George M. Grunert, MD",300,150,170,130,0.483,34.70%,26.50%,5.40%,0.467,31.30%,26.50%,4.60%,280,135,138,109,51.80%,38.50%,32.60%,6.40%,50.00%,34.80%,32.60%,5.50%,305,108,88,22,47.50%,48.10%,51.10%,31.80%,45.90%,43.50%,51.10%,27.30%,2.1,2.9,3.8,18.6,51.70%,40.00%,24.20%,5.90%,57.70%,43.50%,29.50%,5.90%,57.70%,43.50%,30.50%,5.90%,1.1,1.3,1.3,1.4,1.1,0.7,0.5,0.1,0,*,60,*,,0 / *,66.70%,* / *,,0 / *,63.30%,* / *,498,316,258,263,1335,7.90%,6.20%,10.70%,24.40%,11.60%,8.30%,11.40%,15.10%,21.60%,12.80%,2.60%,3.80%,3.90%,4.20%,3.40%,3.70%,4.70%,0.90%,7.60%,4.10%,97.80%,96.70%,97.40%,97.10%,97.30%,0.926,90.00%,81.00%,77.10%,87.30%,0.885,86.00%,90.50%,80.00%,86.90%,33%,17%,15%,0.23,8%,77%,2%,0.38,42%,9%,81%,7%,1%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,TX,"Houston, Harris County, Texas, United States","(29.7589382, -95.3676974, 0.0)",29.7589382,-95.3676974
393,COOPER INSTITUTE FOR ADVANCED REPRODUCTIVE MEDICINE,,HOUSTON,TEXAS,"C. James Chuong, MD",18,9,9,15,18-Jul,* / 9,* / 9,* / 15,18-Jun,0 / 9,* / 9,* / 15,17,8,8,11,17-Jul,* / 8,* / 8,* / 11,17-Jun,0 / 8,* / 8,* / 11,16,*,6,*,16-Jul,* / *,* / 6,* / *,16-Jun,0 / *,* / 6,* / *,2.6,9,3,15,13-Jun,* / *,0 / *,0 / *,13-Jun,* / *,* / *,0 / *,13-Jun,* / *,* / *,0 / *,1,1.3,1.5,1.3,0.9,0.5,0.7,0,0,*,17,*,,0 / *,17-Aug,0 / *,,0 / *,17-Aug,0 / *,38,27,20,48,133,0 / 16,0 / 12,* / 10,36.40%,15.00%,5.30%,11.10%,* / 19,12.50%,9.70%,0.00%,0.00%,0.00%,0.00%,0.00%,5.00%,* / 13,0 / 9,4.30%,6.20%,100.00%,13 / 13,9-Sep,87.00%,95.40%,1,13 / 13,9-Sep,91.30%,96.90%,0.5,13-Jul,9-May,21.70%,41.50%,18%,8%,23%,0.17,23%,29%,2%,0.4,43%,0%,1%,3%,4%,Yes,Yes,Yes,Yes,Yes,No,No,0,TX,"Houston, Harris County, Texas, United States","(29.7589382, -95.3676974, 0.0)",29.7589382,-95.3676974
394,FAMILY FERTILITY CENTER,,HOUSTON,TEXAS,"William E. Gibbons, MD",87,41,44,28,0.517,41.50%,38.60%,7.10%,0.506,39.00%,38.60%,7.10%,79,38,41,25,57.00%,44.70%,41.50%,8.00%,55.70%,42.10%,41.50%,8.00%,85,30,29,9,52.90%,56.70%,58.60%,* / 9,51.80%,53.30%,58.60%,* / 9,1.9,2.4,2.6,14,55.20%,44.40%,37.00%,* / 11,62.10%,44.40%,44.40%,* / 11,62.10%,44.40%,44.40%,* / 11,1.1,1.1,1.3,1.7,1,0.7,0.6,0.3,0,0,18,*,,,18-Jul,0 / *,,,18-Jun,0 / *,259,139,108,68,574,10.40%,11.00%,10.80%,34.50%,12.90%,9.00%,7.70%,9.90%,13.80%,9.40%,11.60%,11.50%,13.00%,1.50%,10.60%,0.00%,0.00%,2.40%,11.10%,2.00%,98.20%,86.70%,85.70%,94.40%,92.80%,0.955,95.00%,92.90%,86.10%,93.60%,0.838,66.70%,81.00%,83.30%,79.10%,29%,3%,5%,0.22,5%,6%,<1%,0.19,48%,4%,11%,2%,1%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,TX,"Houston, Harris County, Texas, United States","(29.7589382, -95.3676974, 0.0)",29.7589382,-95.3676974
395,HOUSTON FERTILITY INSTITUTE,,HOUSTON,TEXAS,"Ghassan F. Haddad, MD",653,322,264,188,0.662,47.50%,31.40%,9.60%,0.6,44.10%,28.40%,9.60%,645,315,253,174,67.00%,48.60%,32.80%,10.30%,60.80%,45.10%,29.60%,10.30%,787,297,179,64,54.90%,51.50%,46.40%,28.10%,49.80%,47.80%,41.90%,28.10%,1.5,2.1,3.2,10.4,69.50%,54.90%,33.60%,11.80%,72.30%,58.30%,34.90%,14.10%,73.30%,60.20%,37.00%,14.10%,1.1,1.2,1.2,1.4,1.2,1,0.7,0.3,14,63,169,9,14-Nov,55.60%,49.10%,9-Aug,14-Oct,54.00%,46.70%,9-Aug,2010,982,757,651,4400,1.90%,3.10%,6.30%,7.50%,3.90%,6.80%,11.20%,17.30%,27.70%,12.60%,1.90%,2.70%,3.30%,1.70%,2.30%,1.60%,2.60%,4.10%,9.90%,3.40%,94.30%,91.00%,92.20%,78.50%,90.90%,0.965,93.00%,91.40%,74.90%,91.80%,0.508,57.00%,61.90%,42.70%,52.80%,70%,9%,30%,0.49,58%,59%,2%,0.41,38%,16%,61%,1%,<1%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,TX,"Houston, Harris County, Texas, United States","(29.7589382, -95.3676974, 0.0)",29.7589382,-95.3676974
396,HOUSTON INFERTILITY CLINIC,"SONJA KRISTIANSEN, MD",HOUSTON,TEXAS,"Sonja B. Kristiansen, MD",*,0,0,0,0 / *,,,,0 / *,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0 / *,,,,0 / *,,,,0 / *,,,,1,,,,0,,,,0,0,*,*,,,0 / *,* / *,,,0 / *,0 / *,31,19,16,11,77,0 / 19,0 / 12,0 / 9,* / *,2.30%,32.30%,19-May,16-May,* / 10,27.60%,0.00%,0 / 19,0 / 16,0 / 11,0.00%,0.00%,0 / 14,* / 11,0 / 9,1.80%,61.90%,14-Jul,11-Sep,9-Jun,63.60%,0.952,14 / 14,11-Nov,9-Aug,96.40%,0.048,* / 14,11-May,* / 9,20.00%,35%,0%,17%,0.03,0%,26%,0%,0.13,0%,1%,1%,5%,5%,No,No,Yes,Yes,Yes,No,Yes,0,TX,"Houston, Harris County, Texas, United States","(29.7589382, -95.3676974, 0.0)",29.7589382,-95.3676974
397,HOUSTON IVF DBA,CCRM HOUSTON,HOUSTON,TEXAS,"Timothy N. Hickman, MD",220,124,105,69,0.664,41.10%,29.50%,11.60%,0.586,38.70%,28.60%,11.60%,216,120,97,59,67.60%,42.50%,32.00%,13.60%,59.70%,40.00%,30.90%,13.60%,261,125,65,24,55.90%,40.80%,47.70%,33.30%,49.40%,38.40%,46.20%,33.30%,1.5,2.4,3.4,8.6,68.40%,42.20%,33.30%,14.60%,73.40%,44.60%,40.40%,14.60%,73.40%,44.60%,40.40%,14.60%,1.1,1.1,1.3,1.3,1.2,1,0.7,0.3,12,*,45,0,12-Jul,* / *,53.30%,,12-May,* / *,46.70%,,471,367,296,174,1308,0.40%,4.50%,3.70%,4.70%,3.00%,2.60%,4.20%,9.30%,15.40%,6.20%,7.60%,8.20%,8.10%,3.40%,7.30%,1.50%,0.60%,4.50%,7.70%,2.60%,84.00%,93.20%,94.00%,78.20%,87.80%,0.977,94.90%,94.70%,93.60%,95.80%,0.66,78.50%,79.70%,60.30%,71.50%,24%,7%,8%,0.17,4%,75%,1%,0.45,47%,12%,92%,5%,1%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,TX,"Houston, Harris County, Texas, United States","(29.7589382, -95.3676974, 0.0)",29.7589382,-95.3676974
398,CONCEIVE FERTILITY CENTER,,IRVING,TEXAS,"Derek Haas, MD",9,*,5,5,9-Jun,* / *,* / 5,* / 5,9-Jun,* / *,* / 5,* / 5,9,*,5,5,9-Jun,* / *,* / 5,* / 5,9-Jun,* / *,* / 5,* / 5,10,*,5,*,10-Jun,* / *,* / 5,* / *,10-Jun,* / *,* / 5,* / *,1.5,4,2.5,2.5,8-Jun,0 / *,* / *,* / *,8-Jun,* / *,* / *,* / *,8-Jun,* / *,* / *,* / *,1,1.3,1,1,1,0.5,1,0.5,0,*,33,*,,0 / *,48.50%,0 / *,,0 / *,45.50%,0 / *,65,52,41,74,232,0.00%,8.30%,10.00%,13.90%,8.20%,6.20%,0.00%,12.80%,10.10%,7.20%,0.00%,1.90%,4.90%,2.70%,2.20%,15.60%,32.10%,* / 18,11.10%,16.70%,100.00%,100.00%,18 / 18,94.40%,98.20%,1,96.40%,18 / 18,100.00%,99.10%,0.531,71.40%,18-Nov,52.80%,58.80%,19%,12%,28%,0.14,14%,63%,7%,0.34,48%,11%,0%,<1%,1%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,TX,"Irving, Dallas County, Texas, United States","(32.8295183, -96.9442177, 0.0)",32.8295183,-96.9442177
399,IVFMD,,IRVING,TEXAS,"Sy Q. Le, MD",109,50,27,27,0.55,50.00%,40.70%,3.70%,0.532,40.00%,40.70%,3.70%,106,47,27,24,56.60%,53.20%,40.70%,4.20%,54.70%,42.60%,40.70%,4.20%,117,56,27,*,51.30%,44.60%,40.70%,* / *,49.60%,35.70%,40.70%,* / *,1.8,2,2.5,27,60.00%,53.80%,15-Aug,* / 15,63.80%,53.80%,15-Aug,* / 15,63.80%,53.80%,15-Aug,* / 15,1.1,1,1.1,1.1,1.1,1.2,1.2,0.1,8,0,18,16,* / 8,,* / 18,* / 16,* / 8,,* / 18,* / 16,273,127,92,58,550,1.70%,3.80%,8.10%,9.10%,4.10%,5.50%,7.20%,12.40%,20.00%,8.50%,1.50%,0.80%,3.30%,0.00%,1.50%,1.20%,1.30%,0.00%,0.00%,0.90%,88.30%,93.30%,96.00%,73.30%,89.30%,0.796,82.70%,82.00%,63.30%,79.20%,0.346,44.00%,50.00%,43.30%,40.10%,36%,7%,18%,0.21,4%,10%,<1%,0.31,36%,2%,12%,<1%,5%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,TX,"Irving, Dallas County, Texas, United States","(32.8295183, -96.9442177, 0.0)",32.8295183,-96.9442177
400,THE CENTRE FOR REPRODUCTIVE MEDICINE,,LUBBOCK,TEXAS,"Janelle O. Dorsett, MD",31,16,*,9,0.548,16-Jun,* / *,* / 9,0.323,16-May,* / *,0 / 9,31,16,*,9,54.80%,16-Jun,* / *,* / 9,32.30%,16-May,* / *,0 / 9,33,15,*,8,51.50%,15-Jun,* / *,* / 8,30.30%,15-May,* / *,0 / 8,1.8,2.7,2,9,56.50%,* / 13,0 / *,* / 8,56.50%,13-May,0 / *,* / 8,56.50%,13-May,0 / *,* / 8,1,1.2,1,1,1,0.9,1,0.9,*,*,*,*,* / *,0 / *,0 / *,* / *,* / *,0 / *,0 / *,* / *,64,20,9,12,105,7.70%,0 / 16,* / 6,* / 8,13.00%,8.20%,10.00%,* / 6,* / 9,10.40%,0.00%,0.00%,0 / 9,0 / 12,0.00%,0.00%,0 / 14,0 / 5,0 / 5,0.00%,46.80%,* / 14,* / 5,* / 5,45.10%,0.128,* / 14,0 / 5,* / 5,15.50%,0.043,0 / 14,0 / 5,0 / 5,2.80%,44%,28%,22%,0.36,6%,2%,0%,0.25,14%,14%,29%,4%,4%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,TX,"Lubbock, Lubbock County, Texas, United States","(33.5635206, -101.879336, 0.0)",33.5635206,-101.879336
401,TEXAS TECH UNIVERSITY HEALTH SCIENCES CENTER,CENTER FOR FERTILITY AND REPRODUCTIVE SURGERY,LUBBOCK,TEXAS,"Jaou-Chen Huang, MD",52,23,17,7,0.481,21.70%,* / 17,0 / 7,0.346,21.70%,* / 17,0 / 7,50,21,15,6,50.00%,23.80%,* / 15,0 / 6,36.00%,23.80%,* / 15,0 / 6,62,27,14,*,40.30%,18.50%,* / 14,0 / *,29.00%,18.50%,* / 14,0 / *,2.1,4.6,8.5,,50.00%,* / 15,* / 10,0 / *,50.00%,* / 15,* / 10,0 / *,50.00%,* / 15,* / 10,0 / *,1,1.2,1.4,1.7,1.2,1.1,0.8,0.6,0,6,9,0,,* / 6,* / 9,,,* / 6,* / 9,,85,49,22,14,170,2.40%,8.00%,* / 11,0 / *,8.80%,17.90%,10.60%,* / 18,* / 14,13.50%,0.00%,2.00%,0.00%,0 / 14,0.60%,1.80%,0.00%,* / 14,0 / 10,1.70%,64.30%,54.10%,14-Oct,10-Jun,61.50%,0.857,91.90%,14-Nov,10-Oct,88.00%,0.304,13.50%,* / 14,* / 10,22.20%,32%,14%,8%,0.26,7%,2%,0%,0.19,14%,4%,4%,1%,3%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,TX,"Lubbock, Lubbock County, Texas, United States","(33.5635206, -101.879336, 0.0)",33.5635206,-101.879336
402,REPRODUCTIVE INSTITUTE OF SOUTH TEXAS,,MCALLEN,TEXAS,"Esteban O. Brown, MD",30,15,24,12,0.3,15-Sep,25.00%,* / 12,0.233,15-Aug,20.80%,* / 12,29,15,22,11,31.00%,15-Sep,27.30%,* / 11,24.10%,15-Aug,22.70%,* / 11,35,17,24,10,25.70%,17-Sep,25.00%,* / 10,20.00%,17-Aug,20.80%,* / 10,3.3,1.7,4,6,33.30%,11-Jun,* / 12,* / 9,33.30%,11-Jun,* / 12,* / 9,33.30%,11-Jun,12-May,* / 9,1,1.1,1.2,1.1,1.2,1.1,1.1,0.9,0,0,5,0,,,* / 5,,,,* / 5,,46,29,21,21,117,0.00%,0 / 19,* / 11,* / 12,2.80%,4.30%,0.00%,5.00%,5.00%,3.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0 / 17,0 / 16,0.00%,50.00%,43.50%,17-Oct,16-Aug,50.00%,1,100.00%,16 / 17,16 / 16,98.90%,0.029,4.30%,0 / 17,* / 16,3.30%,32%,6%,28%,0.28,25%,6%,0%,0.17,19%,2%,3%,3%,3%,Yes,Yes,Yes,Yes,Yes,No,Yes,0,TX,"McAllen, Hidalgo County, Texas, United States","(26.2043691, -98.230082, 0.0)",26.2043691,-98.230082
403,ADVANCED FERTILITY CENTERS,,ODESSA,TEXAS,"Rizwan Malik, MD",20,5,5,*,0.3,* / 5,0 / 5,0 / *,0.25,* / 5,0 / 5,0 / *,18,5,*,*,18-Jun,* / 5,0 / *,0 / *,18-May,* / 5,0 / *,0 / *,18,5,*,*,18-Jun,* / 5,0 / *,0 / *,18-May,* / 5,0 / *,0 / *,3.3,1.3,,,18-May,* / *,0 / *,0 / *,18-Jun,* / *,0 / *,0 / *,18-Jun,* / *,0 / *,0 / *,1.1,1.3,1.3,1,0.9,1,0.6,0.8,*,*,0,0,0 / *,0 / *,,,0 / *,0 / *,,,32,14,11,9,66,8.30%,0 / 10,* / 9,* / 5,14.60%,26.70%,* / 14,* / 7,* / 8,22.00%,0.00%,* / 14,0 / 11,0 / 9,3.00%,0 / 15,0 / 7,0 / *,* / 6,3.10%,15-Jun,* / 7,* / *,* / 6,43.80%,15 / 15,7-Jul,* / *,6-May,96.90%,0 / 15,0 / 7,* / *,0 / 6,3.10%,9%,11%,21%,0.27,2%,3%,2%,0.26,23%,6%,9%,5%,2%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,TX,"Odessa, Ector County, Texas, United States","(31.8457149, -102.367687, 0.0)",31.8457149,-102.367687
404,IVF PLANO,,PLANO,TEXAS,"James Douglas, MD",71,34,15,26,0.662,58.80%,* / 15,7.70%,0.535,50.00%,* / 15,7.70%,67,30,12,24,70.10%,66.70%,* / 12,8.30%,56.70%,56.70%,* / 12,8.30%,72,32,7,7,65.30%,62.50%,* / 7,* / 7,52.80%,53.10%,* / 7,* / 7,1.5,1.7,3.8,13,70.80%,58.30%,* / 6,0 / 5,79.20%,58.30%,* / 6,0 / 5,79.20%,58.30%,* / 6,0 / 5,1.1,1.1,1.2,1,1.1,0.9,0.4,0.2,*,*,11,*,* / *,* / *,11-May,* / *,0 / *,* / *,11-May,* / *,143,90,49,47,329,1.80%,5.40%,0.00%,8.70%,3.60%,16.20%,11.40%,10.20%,28.90%,15.70%,0.70%,3.30%,2.00%,2.10%,1.80%,0.00%,0.00%,0.00%,4.30%,0.50%,100.00%,100.00%,96.20%,78.30%,96.80%,0.452,50.00%,42.30%,56.50%,47.60%,0.643,61.50%,46.20%,43.50%,58.40%,36%,2%,10%,0.68,2%,0%,0%,0.17,27%,2%,19%,1%,0%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,TX,"Plano, Collin County, Texas, United States","(33.0136764, -96.6925096, 0.0)",33.0136764,-96.6925096
405,TEXAS IVF,,PLANO,TEXAS,"Alfred J. Rodriguez, MD",29,25,20,14,0.414,28.00%,20.00%,0 / 14,0.379,28.00%,20.00%,0 / 14,29,24,17,11,41.40%,29.20%,* / 17,0 / 11,37.90%,29.20%,* / 17,0 / 11,25,18,7,*,48.00%,18-Jul,* / 7,0 / *,44.00%,18-Jul,* / 7,0 / *,2.4,3.6,5,,14-Jun,12-May,* / 5,0 / *,14-Jul,12-May,* / 5,0 / *,14-Aug,12-May,* / 5,0 / *,1.4,1.3,1,2.3,1,0.7,0.2,0,0,0,12,*,,,12-Jul,* / *,,,12-Jul,* / *,69,57,54,49,229,0.00%,3.60%,14.80%,6.70%,6.10%,13.00%,14.30%,8.00%,14.90%,12.60%,7.20%,0.00%,11.10%,0.00%,4.80%,2.60%,0.00%,0.00%,19-May,5.50%,100.00%,100.00%,100.00%,19 / 19,100.00%,0.605,81.50%,60.00%,19-Oct,64.20%,0.737,96.30%,88.00%,18 / 19,86.20%,43%,6%,10%,0.36,13%,4%,0%,0.21,37%,12%,40%,3%,2%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,TX,"Plano, Collin County, Texas, United States","(33.0136764, -96.6925096, 0.0)",33.0136764,-96.6925096
406,ASPIRE FERTILITY INSTITUTE - SAN ANTONIO,,SAN ANTONIO,TEXAS,"Ursula Balthazar, MD",266,141,87,36,0.568,37.60%,20.70%,5.60%,0.485,33.30%,20.70%,5.60%,239,121,75,27,63.20%,43.80%,24.00%,7.40%,54.00%,38.80%,24.00%,7.40%,258,97,47,7,58.50%,54.60%,38.30%,* / 7,50.00%,48.50%,38.30%,* / 7,1.8,2.7,4.8,18,57.70%,39.20%,20.80%,* / 15,67.00%,48.50%,25.00%,* / 15,68.00%,49.50%,25.00%,* / 15,1.2,1.2,1.3,1.6,1,0.7,0.5,0,0,6,49,18,,* / 6,51.00%,18-Nov,,* / 6,51.00%,18-Oct,551,297,172,132,1152,9.90%,12.00%,12.10%,20.00%,11.90%,7.10%,10.40%,15.50%,19.50%,10.60%,2.90%,5.70%,2.30%,2.30%,3.50%,1.20%,0.00%,3.40%,5.00%,1.50%,64.10%,77.30%,83.90%,78.30%,71.40%,0.791,79.10%,75.90%,53.30%,76.30%,0.371,59.50%,66.70%,58.30%,48.60%,22%,4%,8%,0.14,1%,2%,1%,0.22,31%,2%,21%,<1%,9%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,TX,"San Antonio, Bexar County, Texas, United States","(29.4246002, -98.4951405, 0.0)",29.4246002,-98.4951405
407,FERTILITY CENTER OF SAN ANTONIO,,SAN ANTONIO,TEXAS,"Gregory S. Neal, MD",130,82,63,52,0.554,40.20%,19.00%,7.70%,0.485,29.30%,17.50%,7.70%,122,77,55,42,59.00%,42.90%,21.80%,9.50%,51.60%,31.20%,20.00%,9.50%,142,79,39,21,50.70%,41.80%,30.80%,19.00%,44.40%,30.40%,28.20%,19.00%,1.8,2.5,5.3,13,58.90%,40.00%,25.00%,* / 17,63.20%,41.70%,25.00%,* / 17,65.30%,41.70%,27.80%,* / 17,1.1,1.1,1.2,1.2,1.1,1,0.6,0.5,*,8,14,0,* / *,* / 8,* / 14,,0 / *,* / 8,* / 14,,239,132,113,78,562,1.80%,7.80%,1.90%,18.60%,6.00%,13.90%,11.10%,12.50%,14.30%,13.00%,2.50%,3.00%,1.80%,0.00%,2.10%,0.00%,0.00%,2.60%,4.10%,1.00%,69.00%,56.70%,73.10%,61.20%,66.00%,0.685,76.70%,67.90%,63.30%,69.60%,0.19,21.10%,23.10%,12.20%,19.50%,26%,9%,19%,0.2,10%,4%,0%,0.23,17%,4%,6%,1%,12%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,TX,"San Antonio, Bexar County, Texas, United States","(29.4246002, -98.4951405, 0.0)",29.4246002,-98.4951405
408,UT HEALTH SAN ANTONIO REPRODUCTIVE HEALTH AND FERTILITY CENTER,,SAN ANTONIO,TEXAS,"Randal D. Robinson, MD",33,16,7,20,0.545,* / 16,* / 7,5.00%,0.515,* / 16,* / 7,5.00%,32,13,7,18,56.30%,* / 13,* / 7,* / 18,53.10%,* / 13,* / 7,* / 18,41,16,7,7,43.90%,* / 16,* / 7,* / 7,41.50%,* / 16,* / 7,* / 7,1.8,5.3,3.5,20,51.90%,* / 13,* / 5,0 / 8,59.30%,* / 13,* / 5,0 / 8,59.30%,* / 13,* / 5,* / 8,1.1,1.1,1.2,2.1,1.3,0.9,1,0.4,0,*,9,*,,* / *,* / 9,0 / *,,* / *,* / 9,0 / *,81,46,39,53,219,0.00%,0.00%,0.00%,20.70%,5.10%,9.90%,13.00%,2.60%,14.90%,10.30%,2.50%,4.30%,5.10%,0.00%,2.70%,0.00%,0.00%,13.00%,4.00%,2.90%,67.80%,66.70%,65.20%,80.00%,69.30%,0.475,56.70%,56.50%,44.00%,50.40%,0.136,16.70%,43.50%,40.00%,24.10%,32%,8%,14%,0.16,7%,<1%,1%,0.37,26%,5%,3%,<1%,11%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,TX,"San Antonio, Bexar County, Texas, United States","(29.4246002, -98.4951405, 0.0)",29.4246002,-98.4951405
